codaNUM2018,Date,nClicks,Duration,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,CodaType,Clan,Unit,UnitNum,IDN
1,04/03/2005,5,1.188,0.293,0.282,0.298,0.315,0,0,0,0,0,5R3,EC1,A,1,0
2,04/03/2005,5,1.125,0.287,0.265,0.299,0.274,0,0,0,0,0,5R3,EC1,A,1,0
3,04/03/2005,5,1.09,0.264,0.253,0.297,0.276,0,0,0,0,0,5R3,EC1,A,1,0
4,04/03/2005,5,1.09,0.269,0.265,0.271,0.285,0,0,0,0,0,5R3,EC1,A,1,0
5,04/03/2005,5,1.101,0.273,0.267,0.266,0.295,0,0,0,0,0,5R3,EC1,A,1,0
6,04/03/2005,5,1.088,0.278,0.27,0.269,0.271,0,0,0,0,0,5R3,EC1,A,1,0
7,04/03/2005,5,1.138,0.269,0.293,0.287,0.289,0,0,0,0,0,5R3,EC1,A,1,0
8,04/03/2005,5,1.13,0.279,0.277,0.28,0.294,0,0,0,0,0,5R3,EC1,A,1,0
9,04/03/2005,5,1.132,0.284,0.278,0.28,0.29,0,0,0,0,0,5R3,EC1,A,1,0
10,04/03/2005,5,1.132,0.297,0.277,0.275,0.283,0,0,0,0,0,5R3,EC1,A,1,0
11,25/03/2008,4,0.208,0.063,0.062,0.083,0,0,0,0,0,0,4R1,EC1,A,1,0
12,25/03/2008,5,0.339,0.09,0.077,0.076,0.096,0,0,0,0,0,5R1,EC1,A,1,0
13,25/03/2008,5,0.295,0.062,0.084,0.063,0.086,0,0,0,0,0,5R1,EC1,A,1,0
14,25/03/2008,5,0.27,0.062,0.063,0.062,0.083,0,0,0,0,0,5R1,EC1,A,1,0
15,25/03/2008,6,0.323,0.067,0.068,0.062,0.061,0.065,0,0,0,0,6i,EC1,A,1,0
16,25/03/2008,6,0.359,0.073,0.072,0.063,0.065,0.086,0,0,0,0,6i,EC1,A,1,0
17,25/03/2008,6,0.438,0.081,0.079,0.076,0.063,0.139,0,0,0,0,6i,EC1,A,1,0
18,25/03/2008,6,0.347,0.07,0.058,0.062,0.067,0.09,0,0,0,0,6i,EC1,A,1,0
19,25/03/2008,6,0.385,0.064,0.066,0.079,0.076,0.1,0,0,0,0,6i,EC1,A,1,0
20,25/03/2008,6,0.84,0.21,0.189,0.167,0.126,0.148,0,0,0,0,6-NOISE,EC1,A,1,0
21,25/03/2008,6,0.356,0.08,0.073,0.062,0.064,0.077,0,0,0,0,6i,EC1,A,1,0
22,25/03/2008,6,0.811,0.249,0.187,0.125,0.125,0.125,0,0,0,0,6-NOISE,EC1,A,1,0
23,25/03/2008,7,0.392,0.05,0.058,0.063,0.06,0.063,0.098,0,0,0,7i,EC1,A,1,0
24,25/03/2008,7,0.898,0.234,0.174,0.124,0.115,0.114,0.137,0,0,0,7i,EC1,A,1,0
25,25/03/2008,7,0.954,0.224,0.202,0.138,0.118,0.117,0.155,0,0,0,7D1,EC1,A,1,0
26,25/03/2008,7,0.907,0.215,0.189,0.142,0.11,0.118,0.133,0,0,0,7D1,EC1,A,1,0
27,25/03/2008,7,0.925,0.238,0.177,0.124,0.137,0.106,0.143,0,0,0,7D1,EC1,A,1,0
28,25/03/2008,7,0.884,0.231,0.211,0.127,0.083,0.105,0.127,0,0,0,7D1,EC1,A,1,0
29,25/03/2008,7,0.975,0.251,0.217,0.125,0.127,0.107,0.148,0,0,0,7D1,EC1,A,1,0
30,25/03/2008,7,0.972,0.247,0.222,0.123,0.097,0.116,0.167,0,0,0,7D1,EC1,A,1,0
31,25/03/2008,7,0.343,0.046,0.056,0.056,0.055,0.058,0.072,0,0,0,7i,EC1,A,1,0
32,25/03/2008,7,0.337,0.042,0.057,0.056,0.058,0.056,0.068,0,0,0,7i,EC1,A,1,0
33,25/03/2008,7,0.357,0.066,0.058,0.054,0.059,0.056,0.064,0,0,0,7i,EC1,A,1,0
34,25/03/2008,7,0.364,0.06,0.065,0.056,0.051,0.049,0.083,0,0,0,7i,EC1,A,1,0
35,25/03/2008,8,0.868,0.188,0.133,0.117,0.105,0.097,0.1,0.128,0,0,8-NOISE,EC1,A,1,0
36,25/03/2008,8,0.367,0.044,0.05,0.051,0.051,0.048,0.055,0.068,0,0,8i,EC1,A,1,0
37,25/03/2008,8,1.061,0.246,0.183,0.131,0.096,0.101,0.122,0.182,0,0,8R,EC1,A,1,0
38,25/03/2008,9,0.962,0.163,0.149,0.115,0.092,0.099,0.105,0.101,0.138,0,9-NOISE,EC1,A,1,0
39,25/03/2008,9,1.079,0.168,0.187,0.118,0.09,0.107,0.113,0.096,0.2,0,9R,EC1,A,1,0
40,25/03/2008,5,0.326,0.097,0.071,0.076,0.082,0,0,0,0,0,5R1,EC1,A,1,0
41,25/03/2008,6,0.352,0.067,0.067,0.072,0.06,0.086,0,0,0,0,6i,EC1,A,1,0
42,05/02/2009,4,0.882,0.303,0.288,0.291,0,0,0,0,0,0,4R2,EC1,A,1,0
43,05/02/2009,4,0.882,0.302,0.287,0.293,0,0,0,0,0,0,4R2,EC1,A,1,5720
44,05/02/2009,4,1.023,0.339,0.35,0.334,0,0,0,0,0,0,4R2,EC1,A,1,5720
45,05/02/2009,4,1.012,0.345,0.326,0.341,0,0,0,0,0,0,4R2,EC1,A,1,5720
46,05/02/2009,4,1.054,0.363,0.344,0.347,0,0,0,0,0,0,4R2,EC1,A,1,5720
47,05/02/2009,4,1.069,0.365,0.352,0.352,0,0,0,0,0,0,4R2,EC1,A,1,5720
48,05/02/2009,4,1.076,0.366,0.358,0.352,0,0,0,0,0,0,4R2,EC1,A,1,5720
49,05/02/2009,4,1.076,0.364,0.351,0.361,0,0,0,0,0,0,4R2,EC1,A,1,5720
50,05/02/2009,4,1.077,0.366,0.36,0.351,0,0,0,0,0,0,4R2,EC1,A,1,5720
51,05/02/2009,4,1.107,0.345,0.377,0.385,0,0,0,0,0,0,4R2,EC1,A,1,5720
52,05/02/2009,4,0.877,0.287,0.291,0.299,0,0,0,0,0,0,4R2,EC1,A,1,5720
53,05/02/2009,4,1.053,0.366,0.342,0.345,0,0,0,0,0,0,4R2,EC1,A,1,5720
54,05/02/2009,4,1.089,0.367,0.355,0.367,0,0,0,0,0,0,4R2,EC1,A,1,5720
55,05/02/2009,5,0.86,0.288,0.262,0.17,0.14,0,0,0,0,0,1+1+3,EC1,A,1,0
56,05/02/2009,5,0.982,0.322,0.319,0.196,0.145,0,0,0,0,0,1+1+3,EC1,A,1,0
57,05/02/2009,5,0.782,0.225,0.271,0.142,0.144,0,0,0,0,0,1+1+3,EC1,A,1,5719
58,05/02/2009,5,0.849,0.263,0.276,0.158,0.152,0,0,0,0,0,1+1+3,EC1,A,1,5719
59,05/02/2009,5,0.89,0.288,0.259,0.202,0.141,0,0,0,0,0,1+1+3,EC1,A,1,5719
60,05/02/2009,5,0.989,0.298,0.351,0.201,0.139,0,0,0,0,0,1+1+3,EC1,A,1,5719
61,05/02/2009,5,0.979,0.34,0.309,0.165,0.165,0,0,0,0,0,1+1+3,EC1,A,1,5719
62,05/02/2009,5,0.84,0.27,0.269,0.171,0.13,0,0,0,0,0,1+1+3,EC1,A,1,5719
63,05/02/2009,5,0.986,0.374,0.297,0.156,0.159,0,0,0,0,0,1+1+3,EC1,A,1,5719
64,05/02/2009,5,0.846,0.279,0.263,0.166,0.138,0,0,0,0,0,1+1+3,EC1,A,1,5719
65,05/02/2009,5,0.972,0.317,0.309,0.181,0.165,0,0,0,0,0,1+1+3,EC1,A,1,5719
66,05/02/2009,5,1,0.317,0.321,0.198,0.164,0,0,0,0,0,1+1+3,EC1,A,1,5719
67,05/02/2009,5,0.999,0.333,0.288,0.18,0.198,0,0,0,0,0,1+1+3,EC1,A,1,5719
68,05/02/2009,5,0.917,0.28,0.315,0.161,0.161,0,0,0,0,0,1+1+3,EC1,A,1,5719
69,05/02/2009,5,0.816,0.258,0.27,0.148,0.14,0,0,0,0,0,1+1+3,EC1,A,1,5719
70,05/02/2009,5,0.862,0.269,0.265,0.181,0.147,0,0,0,0,0,1+1+3,EC1,A,1,5719
